incident_number,date_time_of_call,cal_year,fin_year,type_of_incident,pump_count,pump_hours_total,hourly_notional_cost,incident_notional_cost,final_description,animal_group_parent,originof_call,property_type,property_category,special_service_type_category,special_service_type,ward_code,ward,borough_code,borough,stn_ground_name,uprn,street,usrn,postcode_district,easting_m,northing_m,easting_rounded,northing_rounded,latitude,longitude,dist,time
2872091.0,05/01/2009 12:27,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Horse,Person (mobile),"Intensive Farming Sheds (chickens, pigs etc)",Non Residential,Animal rescue from water,Animal rescue from water - Farm animal,E05000330,Harefield,E09000017,Hillingdon,Ruislip,100021000000.0,Park Lane,21401484.0,UB9,504689.0,190685.0,504650,190650,0.7871499486809463,0.0,0.6785037162757503,12
5186091.0,08/01/2009 14:34,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000115,Cray Valley West,E09000006,Bromley,Orpington,100020000000.0,Tilbury Close,20301320.0,BR5,546981.0,169297.0,546950,169250,0.27022686450022193,0.759716413288861,0.5853714538649797,14
5688091.0,09/01/2009 11:18,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (land line),Other animal boarding/breeding establishment,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000034,Heath,E09000002,Barking and Dagenham,Dagenham,100090039.0,Rainham Road North,19900293.0,RM10,549923.0,186441.0,549950,186450,0.6631949400306818,0.8222919677546727,0.5813728124018206,11
5724091.0,09/01/2009 12:40,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000528,South Richmond,E09000027,Richmond upon Thames,Richmond,10002260585.0,Church Road,22405449.0,TW10,518497.0,174567.0,518450,174550,0.40873877882005494,0.24491466745679055,0.4672438763643665,12
5770091.0,09/01/2009 13:43,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05011489,Woodside,E09000008,Croydon,Woodside,100021000000.0,Belmont Road,20500674.0,SE25,534865.0,167671.0,534850,167650,0.24047450377627505,0.5390387982470191,0.4237590058040064,13
5789091.0,09/01/2009 14:30,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Wasteland,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000453,Telegraph Hill,E09000023,Lewisham,New Cross,10023230026.0,Bessingham Walk,22006012.0,SE4,535913.0,174968.0,535950,174950,0.407955398251005,0.5615869378691087,0.3634514245397858,14
6378091.0,10/01/2009 13:05,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (mobile),Private garage,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000039,Thames,E09000002,Barking and Dagenham,Barking,100089001.0,Stern Close,19903819.0,IG11,547091.0,183173.0,547050,183150,0.5898191394627873,0.7690016452124951,0.5169034513330348,13
7051091.0,11/01/2009 12:32,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Bird,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Bird,E05000315,Hylands,E09000016,Havering,Hornchurch,100021000000.0,Albany Road,21300936.0,RM12,552339.0,186735.0,552350,186750,0.6683097447030482,0.8664425727597386,0.6123232798122261,12
14784091.0,25/01/2009 15:27,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Unknown - Domestic Animal Or Pet,Person (land line),Domestic garden (vegetation not equipment),Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05011489,Woodside,E09000008,Croydon,Woodside,100021000000.0,Belmont Road,20500674.0,SE25,534865.0,167671.0,534850,167650,0.24047450377627505,0.5390387982470191,0.4237590058040064,15
15664091.0,27/01/2009 10:49,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Squirrel,Person (land line),Vehicle Repair Workshop,Non Residential,Animal rescue from height,Wild animal rescue from height,E05000449,New Cross,E09000023,Lewisham,Deptford,200001000000.0,Creekside,22004382.0,SE8,537492.0,177108.0,537450,177150,0.45628289035048,0.5913292765736711,0.3698538603286411,10
16245091.0,28/01/2009 13:40,2009,2008/09,Special Service,1.0,2.0,255,0.09357798165137615,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,E05000590,Cann Hall,E09000031,Waltham Forest,Leytonstone,100023000000.0,Ferndale Road,22836050.0,E11,539647.0,186846.0,539650,186850,0.679281995237867,0.635374329582117,0.4430590626541794,13
17783091.0,31/01/2009 09:47,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (land line),Pipe or drain,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,200002000000.0,St. James Lane,21106430.0,N10,529026.0,189379.0,529050,189350,0.7441259853372566,0.44309950029238926,0.3046638918546185,9
20027091.0,04/02/2009 00:25,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Fox,Person (land line),Wasteland,Outdoor,Animal rescue from below ground,Wild animal rescue from below ground,E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,Hammersmith,34057075.0,Avonmore Road,21000081.0,W14,524639.0,178810.0,524650,178850,0.5031290740180148,0.3584221242644201,0.3027311084114019,0
22115091.0,08/02/2009 00:59,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (mobile),Other Residential Home,Other Residential,Other animal assistance,Animal assistance involving livestock - Other action,E05000379,St. Mary's,E09000019,Islington,Islington,10012787326.0,Upper Street,21606199.0,N1,531616.0,184385.0,531650,184350,0.6275298058295492,0.4879395174742841,0.2437286339353694,0
26040091.0,14/02/2009 11:38,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Dog,Person (mobile),Cycle path/public footpath/bridleway,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,10003976332.0,Park Road,21103726.0,N8,529321.0,189057.0,529350,189050,0.7365338982527111,0.44832597453956535,0.2927823235784558,11
26715091.0,15/02/2009 15:53,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Bird,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Bird,E05009330,St. Katharine's & Wapping,E09000030,Tower Hamlets,Shadwell,6009847.0,Porters Walk,22701920.0,E1W,534781.0,180604.0,534750,180650,0.5385023665887176,0.5437331606718917,0.2623865145162791,15
30133091.0,21/02/2009 14:08,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Fox,Person (land line),Bridge,Outdoor Structure,Animal rescue from height,Wild animal rescue from height,E05000416,Bishop's,E09000022,Lambeth,Lambeth,200000000000.0,Upper Ground,21901574.0,SE1,531012.0,180382.0,531050,180350,0.5356585579577535,0.47506350912440204,0.1174476053395741,14
30194091.0,21/02/2009 16:12,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000060,Underhill,E09000003,Barnet,Barnet,200082080.0,Milton Avenue,20029780.0,EN5,524699.0,195738.0,524650,195750,0.8931385066328078,0.3670973786564547,0.4594624304554188,16
37589091.0,06/03/2009 15:22,2009,2008/09,Special Service,1.0,2.0,255,0.09357798165137615,Redacted,Cat,Person (land line),Tree scrub,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000485,Green Street East,E09000025,Newham,East Ham,46023983.0,Elizabeth Road,22200586.0,E6,541831.0,184038.0,541850,184050,0.6131940824270243,0.6737200623811959,0.4481959459879198,15
39040091.0,08/03/2009 23:54,2009,2008/09,Special Service,1.0,1.0,255,0.0,Redacted,Cat,Person (mobile),Other outdoor structures,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05000112,Clock House,E09000006,Bromley,Beckenham,100024000000.0,Elmers End Road,20300747.0,BR3,535275.0,169192.0,535250,169150,0.2752675742668677,0.5472102865119303,0.4152947182423555,23
40866091.0,12/03/2009 11:51,2009,2008/09,Special Service,2.0,3.0,255,0.1871559633027523,Redacted,Horse,Person (mobile),Other outdoor location,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,E05000030,Eastbrook,E09000002,Barking and Dagenham,Dagenham,100007496.0,The Chase,19900828.0,RM7,551413.0,186198.0,551450,186150,0.6565780342036868,0.8492900606587265,0.5973154099803559,11
